4K&8K,#genre#
北京卡酷少儿,http://192.168.6.1:35455/itv/7851974109718180595.m3u8?cdn=bestzb
北京卫视,http://192.168.6.1:35455/tptv/G_BEIJING-HD-265-8M.m3u8#http://192.168.6.1:35455/itv/6000000001000020451.m3u8?cdn=wasusyt#http://192.168.6.1:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
天津卫视,http://192.168.6.1:35455/tptv/G_TIANJIN-HD-265-8M.m3u8#http://192.168.6.1:35455/itv/5000000004000006827.m3u8?cdn=bestzb#http://192.168.6.1:35455/itv/6000000001000009186.m3u8?cdn=wasusyt#http://192.168.6.1:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
东方卫视,http://192.168.6.1:35455/tptv/G_DONGFANG-HD-265-8M.m3u8
重庆卫视,http://192.168.6.1:35455/tptv/G_CHONGQING-CQ.m3u8#http://192.168.6.1:35455/itv/1000000001000001096.m3u8?cdn=ystenlive#http://192.168.6.1:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
东南卫视,http://192.168.6.1:35455/tptv/H265-5500k-1080P-dongnanstv.m3u8#http://192.168.6.1:35455/itv/5000000004000010584.m3u8?cdn=bestzb#http://192.168.6.1:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
甘肃卫视,http://192.168.6.1:35455/itv/5000000011000031121.m3u8?cdn=bestzb
贵州卫视,http://192.168.6.1:35455/tptv/G_GUIZHOU-CQ.m3u8#http://192.168.6.1:35455/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://192.168.6.1:35455/tptv/HD-8000k-1080P-lvyoustv.m3u8#http://192.168.6.1:35455/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://192.168.6.1:35455/tptv/G_HEBEI-CQ.m3u8#http://192.168.6.1:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://192.168.6.1:35455/tptv/G_HENAN-CQ.m3u8#http://192.168.6.1:35455/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://192.168.6.1:35455/tptv/G_HEILONGJIANG-HD-265-8M.m3u8#http://192.168.6.1:35455/itv/1000000001000001925.m3u8?cdn=ystenlive#http://192.168.6.1:35455/itv/6000000001000016510.m3u8?cdn=wasusyt#http://192.168.6.1:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
湖北卫视,http://192.168.6.1:35455/tptv/G_HUBEI-HD-265-8M.m3u8#http://192.168.6.1:35455/itv/1000000001000024621.m3u8?cdn=ystenlive#http://192.168.6.1:35455/itv/6000000001000015436.m3u8?cdn=wasusyt#http://192.168.6.1:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
湖南茶频道,http://192.168.6.1:35455/itv/5000000011000031209.m3u8?cdn=bestzb
湖南金鹰纪实,http://192.168.6.1:35455/itv/5000000011000031203.m3u8?cdn=bestzb
湖南快乐垂钓,http://192.168.6.1:35455/itv/5000000011000031206.m3u8?cdn=bestzb
湖南卫视,http://192.168.6.1:35455/tptv/G_HUNAN-HD-265-8M.m3u8#http://192.168.6.1:35455/itv/5000000004000006692.m3u8?cdn=bestzb#http://192.168.6.1:35455/itv/6000000001000018044.m3u8?cdn=wasusyt#http://192.168.6.1:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
吉林卫视,http://192.168.6.1:35455/tptv/G_JILIN-CQ.m3u8#http://192.168.6.1:35455/itv/5000000011000031117.m3u8?cdn=bestzb
江苏卫视,http://192.168.6.1:35455/tptv/G_JIANGSU-HD-265-8M.m3u8#http://192.168.6.1:35455/itv/1000000001000001828.m3u8?cdn=ystenlive#http://192.168.6.1:35455/itv/6000000001000014861.m3u8?cdn=wasusyt#http://192.168.6.1:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
江西卫视,http://192.168.6.1:35455/tptv/G_JIANGXI-CQ.m3u8#http://192.168.6.1:35455/itv/1000000006000268001.m3u8?cdn=ystenlive#http://192.168.6.1:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
辽宁卫视,http://192.168.6.1:35455/tptv/G_LIAONING-HD-265-8M.m3u8#http://192.168.6.1:35455/itv/5000000004000011671.m3u8?cdn=bestzb#http://192.168.6.1:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
云南卫视,http://192.168.6.1:35455/tptv/G_YUNNAN-HQ.m3u8#http://192.168.6.1:35455/itv/5000000011000031120.m3u8?cdn=bestzb
浙江卫视,http://192.168.6.1:35455/tptv/G_ZHEJIANG-HD-265-8M.m3u8#http://192.168.6.1:35455/itv/1000000001000014260.m3u8?cdn=ystenlive#http://192.168.6.1:35455/itv/5000000004000007275.m3u8?cdn=bestzb#http://192.168.6.1:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
山东卫视,http://192.168.6.1:35455/tptv/G_SHANDONG-HD-265-8M.m3u8#http://192.168.6.1:35455/itv/1000000001000016568.m3u8?cdn=ystenlive#http://192.168.6.1:35455/itv/6000000001000004134.m3u8?cdn=wasusyt#http://192.168.6.1:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
四川卫视,http://192.168.6.1:35455/tptv/G_SICHUAN-CQ.m3u8#http://192.168.6.1:35455/itv/5000000004000006119.m3u8?cdn=bestzb
青海卫视,http://192.168.6.1:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
新疆卫视,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/1000000002000029441/1.m3u8?channel-id=ystenlive&Contentid=1000000002000029441&livemode=1&stbId=3#http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000029441&livemode=1&stbId=4
内蒙古卫视,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000002000014080/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000014080#http://gslbservzqhsw.itv.cmvideo.cn/000000001000/1000000002000014080/1.m3u8?channel-id=ystenlive&Contentid=1000000002000014080&livemode=1&stbId=3#http://gslbservzqhsw.itv.cmvideo.cn/000000001000/1000000002000014080/index.m3u8?channel-id=ystenlive&Contentid=1000000002000014080&livemode=1&stbId=3
三沙卫视,http://192.168.6.1:35455/tptv/G_SANSHA-HQ.m3u8
康巴卫视,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000005000266002/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266002
